	id_and_goal	utt_id	MIDAS	speaker	utt
0	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	0	yes no question_1	0	Would you like something to drink ?
1	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	1	pos answer_1	11111	Yes please .
2	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	2	yes no question_2	11111	Do you have any teas ?
3	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	3	statement_1	0	Of course we have lots of teas ?
4	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	4	open question opinion_1	11111	What do you recommend ?
5	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	5	command_1	0	What about a green tea or perhaps a jasmine tea ?
6	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	6	open question factual_1	11111	What's this one ?
7	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	7	opinion_1	0	That's Oolong tea; it's a Cantonese tea .
8	1670: [1] yes no question_1 [2] pos answer_1 [3] yes no question_2 [4] statement_1 [5] open question opinion_1 [6] command_1 [7] open question factual_1 [8] opinion_1	8	opinion_1	11111	Ok , I'll try that .
9	11346: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] opinion_1	0	open question factual_1	0	What prompted you to apply to this company ?
10	11346: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] opinion_1	1	statement_1	11111	It owns 10 factories and offers stocks to the public .
11	11346: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] opinion_1	2	open question factual_2	0	Why do I have to hire you ?
12	11346: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] opinion_1	3	statement_2	11111	I have a proven track record in resolving problems , multitasking , and dealing with customers , as you can sec in my resume .
13	11346: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] opinion_1	4	opinion_1	11111	I think it is enough .
14	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	0	statement_1	0	Come on , you are left behind !
15	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	1	statement_1	11111	Wow , I can't catch my breath .
16	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	2	statement_1	11111	You are running too fast , honey .
