	id_and_goal	utt_id	durec_goal_1	speaker	utt
0	0: [1] other_1	0	other_1	speaker_1	Hey man, you wanna buy some weed?
1	0: [1] other_1	1	other_1	speaker_2	Some what?
2	0: [1] other_1	2	other_1	speaker_1	Weed!
3	0: [1] other_1	3	other_1	speaker_1	You know?
4	0: [1] other_1	4	other_1	speaker_1	Pot, Ganja, Mary Jane some chronic!
5	0: [1] other_1	5	other_1	speaker_2	Oh, umm, no thanks.
6	0: [1] other_1	6	other_1	speaker_1	I also have blow if you prefer to do a few lines.
7	0: [1] other_1	7	other_1	speaker_2	No, I am ok, really.
8	0: [1] other_1	8	other_1	speaker_1	Come on man!
9	0: [1] other_1	9	other_1	speaker_1	I even got dope and acid!
10	0: [1] other_1	10	other_1	speaker_1	Try some!
11	0: [1] other_1	11	other_1	speaker_2	Do you really have all of these drugs?
12	0: [1] other_1	12	other_1	speaker_2	Where do you get them from?
13	0: [1] other_1	13	other_1	speaker_1	I got my connections!
14	0: [1] other_1	14	other_1	speaker_1	Just tell me what you want and I’ll even give you one ounce for free.
15	0: [1] other_1	15	other_1	speaker_2	Sounds good!
16	0: [1] other_1	16	other_1	speaker_2	Let’s see, I want.
17	0: [1] other_1	17	other_1	speaker_1	Yeah?
18	0: [1] other_1	18	other_1	speaker_2	I want you to put your hands behind your head!
19	0: [1] other_1	19	other_1	speaker_2	You are under arrest!
20	1: [1] chitchat about other_1 [2] Q&A about other_1	0	chitchat about other_1	speaker_1	The taxi drivers are on strike again.
21	1: [1] chitchat about other_1 [2] Q&A about other_1	1	Q&A about other_1	speaker_2	What for?
22	1: [1] chitchat about other_1 [2] Q&A about other_1	2	Q&A about other_1	speaker_1	They want the government to reduce the price of the gasoline.
23	1: [1] chitchat about other_1 [2] Q&A about other_1	3	Q&A about other_1	speaker_2	It is really a hot potato.
24	2: [1] Q&A about other_1	0	Q&A about other_1	speaker_1	We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years.
25	2: [1] Q&A about other_1	1	Q&A about other_1	speaker_2	That's excellent.
26	2: [1] Q&A about other_1	2	Q&A about other_1	speaker_2	How have you managed that?
27	2: [1] Q&A about other_1	3	Q&A about other_1	speaker_1	Mainly because we've invested in a heat recovery system.
28	2: [1] Q&A about other_1	4	Q&A about other_1	speaker_2	What does that mean exactly?
29	2: [1] Q&A about other_1	5	Q&A about other_1	speaker_1	Well, we use the exhaust gases from our printing presses to provide energy to heat our dryers.
30	2: [1] Q&A about other_1	6	Q&A about other_1	speaker_2	What other sources of energy do you use?
31	2: [1] Q&A about other_1	7	Q&A about other_1	speaker_1	We don't use any fossil fuels.
32	2: [1] Q&A about other_1	8	Q&A about other_1	speaker_1	Most of our power comes from hydro-electric plants.
33	2: [1] Q&A about other_1	9	Q&A about other_1	speaker_1	We're hoping to use even more energy from alternative sources in the future - perhaps even wind power.
34	3: [1] chat about other_1 [2] chitchat about other_1	0	chat about other_1	speaker_1	Believe it or not, tea is the most popular beverage in the world after water.
