	id_and_goal	utt_id	open_goal_cut	open_goal	speaker	utt
0	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	0	wants_1	wants to sell drugs	speaker_1	Hey man, you wanna buy some weed?
1	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	1	asks_1	asks for clarification	speaker_2	Some what?
2	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	2	repeats_1	repeats offer	speaker_1	Weed!
3	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	3	assumes_1	assumes knowledge	speaker_1	You know?
4	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	4	explains_1	explains offer	speaker_1	Pot, Ganja, Mary Jane some chronic!
5	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	5	declines_1	declines offer	speaker_2	Oh, umm, no thanks.
6	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	6	offers_1	offers another drug	speaker_1	I also have blow if you prefer to do a few lines.
7	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	7	declines_2	declines offer	speaker_2	No, I am ok, really.
8	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	8	tries_1	tries to persuade	speaker_1	Come on man!
9	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	9	offers_2	offers more drugs	speaker_1	I even got dope and acid!
10	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	10	tries_2	tries to persuade	speaker_1	Try some!
11	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	11	asks_2	asks for verification	speaker_2	Do you really have all of these drugs?
12	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	12	asks_2	asks for source	speaker_2	Where do you get them from?
13	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	13	answers_1	answers source	speaker_1	I got my connections!
14	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	14	offers_3	offers deal	speaker_1	Just tell me what you want and I’ll even give you one ounce for free.
15	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	15	pretends_1	pretends to agree	speaker_2	Sounds good!
16	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	16	prepares_1	prepares to ask for something	speaker_2	Let’s see, I want.
17	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	17	asks_3	asks for what buyer wants	speaker_1	Yeah?
18	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	18	orders_1	orders arrest	speaker_2	I want you to put your hands behind your head!
19	0: [1] wants_1 [2] asks_1 [3] repeats_1 [4] assumes_1 [5] explains_1 [6] declines_1 [7] offers_1 [8] declines_2 [9] tries_1 [10] offers_2 [11] tries_2 [12] asks_2 [13] answers_1 [14] offers_3 [15] pretends_1 [16] prepares_1 [17] asks_3 [18] orders_1 [19] announces_1	19	announces_1	announces arrest	speaker_2	You are under arrest!
20	1: [1] mentions_1 [2] wants_1 [3] provides_1 [4] agrees_1	0	mentions_1	mentions an event	speaker_1	The taxi drivers are on strike again.
21	1: [1] mentions_1 [2] wants_1 [3] provides_1 [4] agrees_1	1	wants_1	wants more information	speaker_2	What for?
22	1: [1] mentions_1 [2] wants_1 [3] provides_1 [4] agrees_1	2	provides_1	provides information	speaker_1	They want the government to reduce the price of the gasoline.
23	1: [1] mentions_1 [2] wants_1 [3] provides_1 [4] agrees_1	3	agrees_1	agrees and adds commentary	speaker_2	It is really a hot potato.
24	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	0	reports_1	reports success	speaker_1	We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years.
25	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	1	shows_1	shows positive reaction	speaker_2	That's excellent.
26	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	2	wants_1	wants to know the reason	speaker_2	How have you managed that?
27	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	3	explains_1	explains the reason	speaker_1	Mainly because we've invested in a heat recovery system.
28	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	4	wants_2	wants clarification	speaker_2	What does that mean exactly?
29	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	5	clarifies_1	clarifies the heat recovery system	speaker_1	Well, we use the exhaust gases from our printing presses to provide energy to heat our dryers.
30	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	6	wants_3	wants to know other sources	speaker_2	What other sources of energy do you use?
31	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	7	reports_2	reports no use of fossil fuels	speaker_1	We don't use any fossil fuels.
32	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	8	reports_2	reports primary source	speaker_1	Most of our power comes from hydro-electric plants.
