dialog_id	utt_id	speaker	utt	open_goal	primary_goal	secondary_goal	durec_goal_1	durec_state_1	durec_goal_2	durec_state_2
0	0	speaker_1	Hey man, you wanna buy some weed?	wants to sell drugs	Obtain permission	Personal resource goals	other	GOAL_DETECTED		
0	1	speaker_2	Some what?	asks for clarification	None	Unknown	other	GOAL_IN_PROGRESS		
0	2	speaker_1	Weed!	repeats offer	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	3	speaker_1	You know?	assumes knowledge	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	4	speaker_1	Pot, Ganja, Mary Jane some chronic!	explains offer	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	5	speaker_2	Oh, umm, no thanks.	declines offer	Give advice	Affect management goals	other	GOAL_IN_PROGRESS		
0	6	speaker_1	I also have blow if you prefer to do a few lines.	offers another drug	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	7	speaker_2	No, I am ok, really.	declines offer	Give advice	Affect management goals	other	GOAL_IN_PROGRESS		
0	8	speaker_1	Come on man!	tries to persuade	Obtain permission	Affect management goals	other	GOAL_IN_PROGRESS		
0	9	speaker_1	I even got dope and acid!	offers more drugs	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	10	speaker_1	Try some!	tries to persuade	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	11	speaker_2	Do you really have all of these drugs?	asks for verification	None	Unknown	other	GOAL_IN_PROGRESS		
0	12	speaker_2	Where do you get them from?	asks for source	None	Unknown	other	GOAL_IN_PROGRESS		
0	13	speaker_1	I got my connections!	answers source	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	14	speaker_1	Just tell me what you want and I’ll even give you one ounce for free.	offers deal	Obtain permission	Personal resource goals	other	GOAL_IN_PROGRESS		
0	15	speaker_2	Sounds good!	pretends to agree	None	Affect management goals	other	GOAL_IN_PROGRESS		
0	16	speaker_2	Let’s see, I want.	prepares to ask for something	None	Unknown	other	GOAL_IN_PROGRESS		
0	17	speaker_1	Yeah?	asks for what buyer wants	None	Unknown	other	GOAL_IN_PROGRESS		
0	18	speaker_2	I want you to put your hands behind your head!	orders arrest	Enforce rights and obligations	Personal resource goals	other	GOAL_NOT_ACHIEVED		
0	19	speaker_2	You are under arrest!	announces arrest	Enforce rights and obligations	Personal resource goals	other	GOAL_NOT_ACHIEVED		
1	0	speaker_1	The taxi drivers are on strike again.	mentions an event	Change orientation	Affect management goals	chitchat about other	GOAL_DETECTED		
1	1	speaker_2	What for?	wants more information	Gain assistance	Relational resource goals	Q&A about other	GOAL_DETECTED		
1	2	speaker_1	They want the government to reduce the price of the gasoline.	provides information	Change orientation	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
1	3	speaker_2	It is really a hot potato.	agrees and adds commentary	None	Affect management goals	Q&A about other	GOAL_ACHIEVED		
2	0	speaker_1	We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years.	reports success	None	Affect management goals	Q&A about other	GOAL_DETECTED		
2	1	speaker_2	That's excellent.	shows positive reaction	None	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
2	2	speaker_2	How have you managed that?	wants to know the reason	Obtain information	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
2	3	speaker_1	Mainly because we've invested in a heat recovery system.	explains the reason	Provide information	None	Q&A about other	GOAL_IN_PROGRESS		
2	4	speaker_2	What does that mean exactly?	wants clarification	Obtain information	None	Q&A about other	GOAL_IN_PROGRESS		
2	5	speaker_1	Well, we use the exhaust gases from our printing presses to provide energy to heat our dryers.	clarifies the heat recovery system	Provide information	None	Q&A about other	GOAL_IN_PROGRESS		
2	6	speaker_2	What other sources of energy do you use?	wants to know other sources	Obtain information	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
2	7	speaker_1	We don't use any fossil fuels.	reports no use of fossil fuels	Provide information	None	Q&A about other	GOAL_IN_PROGRESS		
2	8	speaker_1	Most of our power comes from hydro-electric plants.	reports primary source	Provide information	None	Q&A about other	GOAL_IN_PROGRESS		
2	9	speaker_1	We're hoping to use even more energy from alternative sources in the future - perhaps even wind power.	expresses hope for future energy sources	Provide information	None	Q&A about other	GOAL_ACHIEVED		
3	0	speaker_1	Believe it or not, tea is the most popular beverage in the world after water.	wants to share information about tea popularity	Change orientation	Affect management goals	chat about other	GOAL_DETECTED		
3	1	speaker_2	Well, people from Asia to Europe all enjoy tea.	agrees with speaker 1	Share activity	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	2	speaker_1	Right.	agreement	None	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	3	speaker_1	And China is the homeland of tea.	wants to emphasize the origin of tea	Change orientation	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	4	speaker_2	Yes, Chinese people love drinking tea so much.	agrees with speaker 1	Share activity	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	5	speaker_2	Some even claim they can't live without tea.	shares additional information about tea popularity	Share activity	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	6	speaker_1	Do you know there are several categories of Chinese tea?	wants to know if speaker 2 is aware of tea categories	Gain assistance	Personal resource goals	chat about other	GOAL_IN_PROGRESS		
3	7	speaker_2	Yes, I believe there are green teas, black teas and scented teas.	lists known tea categories	Gain assistance	Personal resource goals	chat about other	GOAL_IN_PROGRESS		
3	8	speaker_2	Any others?	wants to know if there are other tea categories	Gain assistance	Personal resource goals	chat about other	GOAL_IN_PROGRESS		
3	9	speaker_1	Well, have you ever heard of Oulong tea and compressed tea?	wants to share additional tea categories	Provide counsel	Relational resource goals	chat about other	GOAL_IN_PROGRESS		
3	10	speaker_2	Oh, yeah.	agreement	None	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	11	speaker_2	Oulong tea is good for one's health.	shares opinion about Oulong tea	Provide counsel	Relational resource goals	chat about other	GOAL_IN_PROGRESS		
3	12	speaker_2	Isn't it?	seeks confirmation	Obtain permission	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	13	speaker_1	You surely know a lot about Chinese tea.	compliments speaker 2's knowledge	Share activity	Relational resource goals	chat about other	GOAL_IN_PROGRESS		
3	14	speaker_2	Sure, I like drinking tea at teahouses.	shares personal information about tea drinking habits	Share activity	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	15	speaker_1	Oh, so do I.	agrees with speaker 2	Share activity	Affect management goals	chat about other	GOAL_IN_PROGRESS		
3	16	speaker_2	Why don't we go for one now?	proposes to go to a teahouse	Share activity	Affect management goals	chat about other	GOAL_IN_PROGRESS	chitchat about other	GOAL_DETECTED
3	17	speaker_1	Great.	agrees with speaker 2	None	Affect management goals	chitchat about other	GOAL_IN_PROGRESS		
3	18	speaker_1	We can chat while enjoying a cup there.	wants to socialize over tea	Share activity	Affect management goals	chitchat about other	GOAL_IN_PROGRESS		
3	19	speaker_2	Let's go!	confirms the plan to go to a teahouse	Share activity	Affect management goals	chitchat about other	GOAL_ACHIEVED		
4	0	speaker_1	What are your personal weaknesses?	wants to know speaker_2's weaknesses	Change relationship |	Affect management goals	Q&A about other	GOAL_DETECTED		
4	1	speaker_2	I’m afraid I’m a poor talker.	acknowledges a personal weakness	Change relationship |	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
4	2	speaker_2	I’m not comfortable talking with the people whom I have just met for the first time.	explains the weakness	Change relationship |	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
4	3	speaker_2	That is not very good for business, so I have been studying public speaking.	acknowledges the impact of the weakness and is trying to improve	Change orientation |	Identity goals	Q&A about other	GOAL_IN_PROGRESS		
4	4	speaker_1	Are you more of a leader or a follower?	wants to know speaker_2's leadership style	Change relationship |	Identity goals	Q&A about other	GOAL_IN_PROGRESS		
4	5	speaker_2	I don’t try to lead people.	describes leadership style	Change relationship |	Identity goals	Q&A about other	GOAL_IN_PROGRESS		
4	6	speaker_2	I’d rather cooperate with everybody, and get the job done by working together.	explains leadership style	Change orientation |	Identity goals	Q&A about other	GOAL_IN_PROGRESS		
4	7	speaker_1	Do you think you can make yourself easily understood in English?	wants to know speaker_2's English proficiency	Obtain permission |	Identity goals	Q&A about other	GOAL_IN_PROGRESS		
4	8	speaker_2	Yes, in most circumstances.	confirms English proficiency	Obtain permission |	Identity goals	Q&A about other	GOAL_IN_PROGRESS		
4	9	speaker_1	Are you available for travel?	wants to know speaker_2's availability for travel	Obtain permission |	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
4	10	speaker_2	Yes, I like travelling.	confirms availability for travel	Obtain permission |	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
4	11	speaker_2	I am young, and unmarried.	provides additional information	Obtain permission |	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
4	12	speaker_2	It’s no problem for me to travel frequently.	confirms ease of frequent travel	Obtain permission |	Personal resource goals	Q&A about other	GOAL_ACHIEVED		
5	0	speaker_1	how long will it take us to drive to London?	wants to know the estimated time of arrival	Obtain material or nonmaterial resources	Personal resource goals	travel time	GOAL_DETECTED		
5	1	speaker_2	I think it’s a distance of 180 kilometers from here to London, so it should be a two-hour drive on the motorway.	provides information about the distance and estimated travel time	Provide counsel	Personal resource goals	travel time	GOAL_IN_PROGRESS		
5	2	speaker_1	that’s unless there is a traffic jam.	points out a potential delay	Provide counsel	Personal resource goals	travel time	GOAL_IN_PROGRESS		
5	3	speaker_1	It could take three hours.	gives a revised estimate	Provide counsel	Personal resource goals	travel time	GOAL_IN_PROGRESS		
5	4	speaker_2	you’re right.	agreement	None	Relational resource goals	travel time	GOAL_IN_PROGRESS		
5	5	speaker_2	We will be able to travel at high speeds at the beginning and end of the journey, because we will be in built-up areas.	provides additional information about travel conditions	Provide counsel	Personal resource goals	travel time	GOAL_IN_PROGRESS		
5	6	speaker_1	so, shall we allow three hours to cover the distance?	wants to confirm the revised estimate	Obtain permission	Personal resource goals	travel time	GOAL_IN_PROGRESS		
5	7	speaker_2	ok.	agreement	None	Relational resource goals	travel time	GOAL_ACHIEVED		
5	8	speaker_2	You haven’t seen my company car, have you?	wants to know if the speaker has seen the company car	Obtain material or nonmaterial resources	Personal resource goals	ask about other	GOAL_DETECTED		
5	9	speaker_1	no.	answers the question	None	Personal resource goals	ask about other	GOAL_IN_PROGRESS		
5	10	speaker_1	let me take a look... it’s longer than my car.	gives an observation	None	Personal resource goals	ask about other	GOAL_IN_PROGRESS		
5	11	speaker_2	I think it’s over five meters long.	provides information about the length of the car	Provide counsel	Personal resource goals	ask about other	GOAL_IN_PROGRESS		
5	12	speaker_2	I can’t remember exactly.	admits to not remembering the exact length	None	Personal resource goals	ask about other	GOAL_IN_PROGRESS		
5	13	speaker_2	It has a maximum speed of over 200 kilometers an hour.	provides information about the maximum speed of the car	Provide counsel	Personal resource goals	ask about other	GOAL_IN_PROGRESS		
5	14	speaker_1	wow!	expresses amazement	None	Affect management goals	ask about other	GOAL_IN_PROGRESS		
5	15	speaker_1	That’s fast!	comments on the speed	None	Affect management goals	ask about other	GOAL_IN_PROGRESS		
5	16	speaker_1	I don’t think we will be traveling that fast on the motorway.	points out that they won't be traveling that fast	Provide counsel	Personal resource goals	ask about other	GOAL_IN_PROGRESS		
5	17	speaker_2	we can’t.	agrees	None	Relational resource goals	ask about other	GOAL_IN_PROGRESS		
5	18	speaker_2	if we went that fast, we would break the speed limit.	explains the reason why they can't travel that fast	Provide counsel	Personal resource goals	ask about other	GOAL_ACHIEVED		
6	0	speaker_1	So how did I do on my driving test?	wants to know the result of their driving test	Obtain information	Personal resource goals	Q&A about other	GOAL_DETECTED		
6	1	speaker_2	Do you want the truth?	wants to confirm the level of honesty desired	Unknown	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
6	2	speaker_1	Of course, I do.	wants to know the truth	Obtain information	None	Q&A about other	GOAL_IN_PROGRESS		
6	3	speaker_2	Well, you really didn't do all that well.	gives an honest answer	Provide counsel	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
6	4	speaker_1	How bad did I do?	wants more information on their performance	Obtain information	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
6	5	speaker_2	To be completely honest, you failed your test.	gives an honest answer	Provide counsel	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
6	6	speaker_1	How?	wants more information on why they failed	Obtain information	None	Q&A about other	GOAL_IN_PROGRESS		
6	7	speaker_2	There were a number of reasons.	gives a general answer	Provide counsel	None	Q&A about other	GOAL_IN_PROGRESS		
6	8	speaker_1	What were they?	wants specific information	Obtain information	None	Q&A about other	GOAL_IN_PROGRESS		
6	9	speaker_2	Basically, you just can't drive.	gives a general answer	Provide counsel	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
6	10	speaker_1	Can I have another try?	wants to know if they can retake the test	Obtain permission	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
6	11	speaker_2	You can take it in a couple weeks.	gives information on when they can retake the test	Provide information	None	Q&A about other	GOAL_ACHIEVED		
7	0	speaker_1	Good morning.	greeting	None	Affect management goals	greeting			
7	1	speaker_1	What's the matter with you?	wants to know what's wrong	Obtain information	Affect management goals	Q&A about other	GOAL_DETECTED		
7	2	speaker_2	Good morning, doctor.	greeting	None	Affect management goals	greeting			
7	3	speaker_2	I have a terrible headache.	describing symptoms	Obtain assistance	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
7	4	speaker_1	All right, young man.	agreement	None	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	5	speaker_1	Tell me how it got started.	wants to know the history	Obtain information	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	6	speaker_2	Yesterday I had a runny nose.	describing symptoms	None	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
7	7	speaker_2	Now my nose is stuffed up.	describing symptoms	None	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
7	8	speaker_2	I have a sore throat.	describing symptoms	None	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
7	9	speaker_2	And I’m afraid I've got a temperature.	describing symptoms	None	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
7	10	speaker_2	I feel terrible.	describing feelings	None	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
7	11	speaker_1	Don't worry, young man.	comforting	Change orientation	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	12	speaker_1	Lat me give you an examination.	offering help	Gain permission	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	13	speaker_1	First let me take a look at your throat.	examining	None	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	14	speaker_1	Open your mouth and say'ah'.	examining	Obtain permission	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	15	speaker_2	Ah.	following instructions	None	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	16	speaker_1	Your throat is inflamed.	giving diagnosis	Obtain information	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	17	speaker_1	And your tongue is heavily coated.	giving diagnosis	Obtain information	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	18	speaker_1	You have all the symptoms of influenza.	giving diagnosis	Provide counsel	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	19	speaker_2	What am I supposed to do then?	wants to know what to do	Gain assistance	Personal resource goals	Q&A about other	GOAL_IN_PROGRESS		
7	20	speaker_1	A good rest is all you need, and drink more water.	giving advice	Provide counsel	Affect management goals	Q&A about other	GOAL_IN_PROGRESS		
7	21	speaker_1	I'll write you a prescription.	writing a prescription	Gain permission	Affect management goals	Q&A about other	GOAL_ACHIEVED		
7	22	speaker_2	Thank you very much.	expressing gratitude	None	Affect management goals	saying goodbye			
8	0	speaker_1	My dear, what's for supper?	wants to know what is for dinner	None	Personal resource goals	Q&A about food	GOAL_DETECTED		
8	1	speaker_2	Red cooked carp and rape with fresh mushrooms.	provides information about dinner	Share activity	Personal resource goals	Q&A about food	GOAL_IN_PROGRESS		
8	2	speaker_1	What about soup?	wants to know about the soup	Gain assistance	Personal resource goals	Q&A about food	GOAL_IN_PROGRESS		
